src_id,tag_id
小儿病毒性肺炎,鸡心
痉挛性肠梗阻,赤小豆
大肠癌,栗子（熟）
腹内疝,绿豆
坏疽性脓皮症,花生
肘外翻畸形,黑豆
慢性子宫内膜炎,桃仁
肠瘘,核桃
结核性阴道炎,白扁豆
锂肾病,腰果
紫外线伤,栗子（鲜）
牛皮癣,黑豆
遗尿症,鸡内金
脾脏原发性恶性肿瘤,芝麻
小儿色素荨麻疹,核桃
旅途精神病,鸭蛋
汗孔角化病,莲子
痉挛性脑瘫,绿豆
颈椎间盘突出症,芝麻
中毒性休克综合征,鸡肝
Bazin硬红斑,乌骨鸡
风湿病,鸡肝
血管免疫母细胞性淋巴结病,鸡蛋
巨细胞病毒性肺炎,花生
脑外伤所致精神障碍,鸡心
肾皮质化脓性感染,花生
纤维肉瘤,鸭肉
老年人原发性恶性高血压引起的恶性小动脉肾,鸭蛋
胆囊炎,鸡肉
马蹄形肾,咸鸭蛋
风寒犯肺,鸡蛋
原发性开角型青光眼,芝麻
假性动脉瘤,鸭蛋
皮下脂肪肉芽肿,赤砂糖
强酸类中毒,葵花子仁
乳头状囊腺癌,鹿肉
阵发性睡眠性血红蛋白尿,鸡蛋
氨基甲酸酯类农药中毒,鹿肉
麻疹病毒肺炎,黑芝麻
卵巢环管状性索肿瘤,薇菜
室性期前收缩,鸭肝
脊髓压迫症,松子仁
心性猝死综合征,莲子
骨血管瘤,杏仁
消化道憩室病,花生
小儿血管瘤,腰果
苔藓样念珠状疹,鸭肝
男子乳房发育症,鹅肉
结节性硬化症,鸡肝
反流性肾病,鸡肉
青年性驼背,赤砂糖
网膜肿瘤,鸡内金
脑胶质瘤,鸡蛋
咽扁桃体肥大,桃仁
心脏淤积淀粉样物质,鹅肉
高渗性脱水,燕麦片
弥散性血管内凝血,鸭血(白鸭)
胰腺损伤,花生
早产儿,鸡蛋
痨瘵,鸡蛋
多发脑梗死性痴呆,鸡蛋
围绝经期前后的外阴白色病变,葵花子仁
矽肺,南瓜子仁
股骨髁上骨折,青豆
急性肠炎,南瓜子仁
副球孢子菌病,芝麻
烟草依赖综合症,白菜
卵巢混合性生殖细胞-性索间质肿瘤,南瓜子仁
原发性高血压,鸡肉
单纯性疱疹,葵花子仁
热带性口炎性腹泻,鸡爪
难产,薇菜
精神活性物质所致精神障碍,芝麻
先天性大疱性鱼鳞病样红皮病,鸡蛋
多发性大动脉炎,松子仁
小儿尿路感染,黑豆
腰腿痛,鸽蛋
妊娠合并急性肾小球肾炎,鹌鹑蛋
黄体萎缩不全,小米
乳汁吸入性肺炎,牛奶
动脉硬化性闭塞症,鸭肝
良性淋巴细胞血管炎和肉芽肿病,莲子
肠道病毒所致各系统感染,芝麻
衣原体尿路感染,鸡肉
老年性紫癜,南瓜子仁
输尿管肿瘤,鸭肝
淋巴瘤样丘疹病,腰果
蓐劳,芝麻
痛风和高尿酸血症,腰果
胃溃疡出血,鸡蛋
镰状细胞性肾病,鸡蛋
性病性淋巴肉芽肿,鸡心
氨基甲酸酯类农药中毒,栗子（熟）
银屑病,鸡心
矽肺,栗子（熟）
小儿大脑半球胶质瘤,鸡肝
气压伤,白果（干）
颞间隙感染,桃仁
小儿流感病毒肺炎,青豆
脊髓灰质炎后遗症,鸡蛋
咽肌麻痹,松子仁
胃内异物,绿豆
鼻疖,南瓜子仁
露阴癖,鸡肝
神经瘤,南瓜子仁
其他弧菌感染,鹅
神经鞘瘤,母鸡
输尿管结核,鸡肉
颈椎半脱位,葵花子仁
脊椎骨髓炎,鸡肉
鼠疫耶尔森菌肺炎,鸭肉
肝胃不和,鸭肉
会阴疝,莲子
病理性近视,黑豆
输卵管畸形,鹌鹑蛋
牙龈癌,南瓜子仁
急性腹膜炎,鹿肉
脊椎结核并发截瘫,鹌鹑蛋
绝经后卵巢恶性肿瘤,花生
先天性短结肠,鸽肉
不射精症,绿豆
溃疡性口腔炎,圆白菜
老年心肌病,腰果
颈椎后脱位,白果（干）
黏膜相关样组织淋巴瘤,葵花子仁
寰枢关节脱位,鸡蛋
类丹毒,黑豆
急性肠系膜上静脉血栓形成,葵花子仁
关节退行性变,大豆
智力低下,桃仁
婴幼儿胃食管反流,鸡蛋
老年人支原体肺炎,鸭肝
物理性皮肤病,鹅肉
白细胞减少症,鸡腿
鼻部囊肿,腰果
小儿维生素A缺乏病,腰果
胎盘早剥,花生
小儿急性支气管炎,南瓜子仁
二硫化碳中毒,苦瓜
舌下间隙感染,乌骨鸡
月骨脱位及月骨周围脱位,腰果
小儿原发性纤毛运动障碍,鸡蛋
腹胀,黑豆
胃病,松子仁
扁桃体癌,蜂蜜
小儿肺炎,鹿肉
镍及其化合物引起的皮肤病,青豆
血管损伤,鸡肉
弓形体脑病,白果（鲜）
鼻/鼻型T/NK细胞淋巴瘤,鸭血(白鸭)
颅内黑色素瘤,芝麻
皮肤松垂,鸡蛋
小肠扭转,黑豆
卵巢宫内膜样肿瘤,鸡肉
线粒体病,鸽蛋
缺血性视盘病变,葵花子仁
胰胆汁综合征,鸡蛋
马方综合征,鸡内金
脑震荡,鸭肝
颅底骨折,莲子
毛囊脓疱病,葵花子仁
小儿粘连性肠梗阻,鸡蛋
肠系膜动脉瘤,鸡肉
妊高征,鸡蛋
小儿先天性主动脉瓣狭窄,芝麻
肾积脓,赤砂糖
咽结合膜热,鹅肉
溃疡性口腔炎,油菜
中性白(粒)细胞减少症,鸭肝
毛鞘棘皮瘤,葵花子仁
巨幼细胞性贫血,南瓜子仁
丘疹性荨麻疹,鸡蛋
阿克森费尔德-里格尔综合征,芝麻
系统性血管炎,莲子
感染性休克,南瓜子仁
麻痹性臂丛神经炎,松子仁
间歇性眼球突出症,南瓜子仁
放线菌病,鸡肉
外阴包涵囊肿,牛奶
化脓性角膜炎,鸡蛋
阴茎硬结症,葵花子仁
旅游者腹泻,栗子（熟）
同型胱氨酸尿症,葵花子仁
蚕食性角膜溃疡,南瓜子仁
心肌梗死,栗子（熟）
继发性肾上腺功能不足,鹿肉
甲醇中毒,栗子（熟）
脾功能亢进,银鱼
泌尿生殖系棘球蚴病,鸡蛋
阴囊丝虫病,鸡蛋
自主性高功能性甲状腺腺瘤,黑芝麻
霜样树枝状视网膜血管炎,栗子（熟）
向颈段脊髓供血的根动脉缺血症候群,鸽蛋
溶血性黄疸,荸荠粉
绝经,鸭肉
常染色体隐性遗传性脑动脉病伴白质脑病,鸡肉
间歇性精神病,核桃
